video_id,count,clicks
cv_2385,2,0
cv_2386,2,0
cv_2387,1,0
cv_12165,2,0
cv_2388,2,0
cv_2389,2,0
cv_2390,2,0
cv_2391,2,0
cv_2392,2,0
cv_2393,2,0
cv_2394,1,0
cv_2395,1,0
cv_2396,2,0
cv_2397,1,0
cv_2398,2,0
cv_2400,2,0
cv_2401,1,0
cv_2402,2,0
cv_9967,2,0
cv_2403,1,0
cv_2404,1,0
cv_2405,1,0
cv_2407,1,0
cv_2408,1,0
cv_2454,2,0
cv_2455,1,0
cv_2456,2,0
cv_2457,2,0
cv_2458,2,0
cv_2459,2,0
cv_2460,2,0
cv_2461,2,0
cv_2462,1,0
cv_6674,1,0
cv_1045,2,0
cv_1679,2,0
cv_10808,1,0
cv_9973,1,0
cv_4465,2,0
cv_1908,2,0
cv_9350,1,0
cv_7955,2,0
cv_520,1,0
cv_3809,3,0
cv_7861,1,0
cv_5695,2,0
cv_5657,1,0
cv_3863,1,0
cv_9000,1,0
cv_12333,1,0
cv_7825,2,0
cv_5773,1,0
cv_4576,1,0
cv_9359,1,0
cv_4556,2,0
cv_4368,2,0
cv_4544,1,0
cv_4560,2,0
cv_2938,1,0
cv_4548,1,0
cv_5680,2,0
cv_10267,1,0
cv_12784,1,0
cv_1717,2,0
cv_1628,2,0
cv_10246,1,0
cv_2885,2,0
cv_6895,2,0
cv_13112,1,0
cv_1612,2,0
cv_1793,2,0
cv_2970,1,0
cv_12181,1,0
cv_1131,2,0
cv_12004,1,0
cv_8273,1,0
cv_11557,1,0
cv_11585,1,0
cv_3938,1,0
cv_3559,1,0
cv_8202,1,0
cv_10916,1,0
cv_11973,1,0
cv_5880,2,0
cv_7954,2,0
cv_1230,2,0
cv_3474,2,0
cv_11993,1,0
cv_1370,2,0
cv_11780,1,0
cv_11755,1,0
cv_4973,2,0
cv_8130,2,0
cv_858,1,0
cv_6381,2,0
cv_6584,2,0
cv_6382,3,0
cv_6407,2,0
cv_3475,2,0
cv_9184,1,0
cv_6303,2,0
cv_9095,1,0
cv_6479,1,0
cv_3995,1,0
cv_686,2,0
cv_10576,1,0
cv_1854,1,0
cv_9114,1,0
cv_6432,2,0
cv_3460,1,0
cv_3905,2,0
cv_3608,1,0
cv_7932,1,0
cv_4401,1,0
cv_9134,1,0
cv_7100,2,0
cv_5765,1,0
cv_7077,2,0
cv_5793,3,0
cv_3592,2,0
cv_11723,1,0
cv_3472,2,0
cv_7134,2,0
cv_6363,2,0
cv_6557,3,0
cv_3468,2,0
cv_465,2,0
cv_1148,1,0
cv_7222,2,0
cv_11892,1,0
cv_9320,1,0
cv_9137,1,0
cv_3846,1,0
cv_1953,2,0
cv_6015,1,0
cv_11822,1,0
cv_8493,1,0
cv_8484,2,0
cv_8472,1,0
cv_3906,1,0
cv_8659,1,0
cv_3393,2,0
cv_11146,1,0
cv_9464,1,0
cv_1067,3,0
cv_8968,1,0
cv_3465,2,0
cv_700,2,0
cv_433,2,0
cv_10841,1,0
cv_12257,1,0
cv_22,1,0
cv_1508,3,0
cv_4151,1,0
cv_4161,1,0
